INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,ICLEVEL,HIGHDEG,CONTROL,WOMENONLY,MENONLY,LOCALE,Tuition,Degree_Type,Ownership,Regions,Locales,Locale_Short
Alabama A & M University,100200,5,850,0.7249,0.8159,0.653841286,4380,7017,0.477631579,14600,49720.22,1,4,1,0,0,12,13435,Graduate,Public,South East,City: Midsize,City
University of Alabama at Birmingham,105200,5,1147,0.3505,0.5218,0.604275287,10331,10221,0.673230442,14250,55735.22,1,4,1,0,0,12,16023,Graduate,Public,South East,City: Midsize,City
Amridge University,2503400,5,,0.7455,0.8781,,98,3217,0.636363636,11082,53683.7,1,4,2,0,0,12,8862,Graduate,Private non-profit,South East,City: Midsize,City
University of Alabama in Huntsville,105500,5,1221,0.3179,0.4589,0.811970979,5220,9514,0.762222222,15000,58688.62,1,4,1,0,0,12,18661,Graduate,Public,South East,City: Midsize,City
Alabama State University,100500,5,844,0.7567,0.7692,0.463858305,4348,7940,0.43006993,15274,46065.2,1,4,1,0,0,12,7400,Graduate,Public,South East,City: Midsize,City
The University of Alabama,105100,5,1181,0.2009,0.4059,0.535867193,15318,9710,0.75203252,17500,57928.41,1,4,1,0,0,13,20575,Graduate,Public,South East,City: Small,City
Central Alabama Community College,100700,5,,0.5554,0.3574,,1577,5671,0.543478261,6500,43985.14,2,2,1,0,0,32,5958,Associates,Public,South East,Town: Distant,Town
Athens State University,100800,5,,0.4233,0.6512,,2662,7921,0.599282297,13250,50752.1,1,3,1,0,0,31,,Bachelors,Public,South East,Town: Fringe,Town
Auburn University at Montgomery,831000,5,990,0.4373,0.5584,0.787089014,4098,7588,0.714932127,10250,50723.81,1,4,1,0,0,12,14176,Graduate,Public,South East,City: Midsize,City
Auburn University,100900,5,1218,0.1631,0.347,0.776604512,18326,9738,0.829545455,17500,59005.4,1,4,1,0,0,13,22183,Graduate,Public,South East,City: Small,City
