Country,Code,Year,Life expectancy,GDP Per Capita,Population,Continent
Afghanistan,AFG,2015,63.377,1928,34414000,Asia
Albania,ALB,2015,78.025,10032,2891000,Europe
Algeria,DZA,2015,76.09,14004,39728000,Africa
Angola,AGO,2015,59.398,8689,27884000,Africa
Argentina,ARG,2015,76.068,19502,43075000,South America
Armenia,ARM,2015,74.467,10042,2926000,Asia
Australia,AUS,2015,82.794,48357,23932000,Oceania
Austria,AUT,2015,81.182,41294,8679000,Europe
Azerbaijan,AZE,2015,72.266,17460,9623000,Asia
Bahrain,BHR,2015,76.762,40483,1372000,Asia
Bangladesh,BGD,2015,71.514,3402,156256000,Asia
Barbados,BRB,2015,78.801,11849,285000,North America
Belarus,BLR,2015,73.652,18136,9439000,Europe
Belgium,BEL,2015,80.969,38569,11288000,Europe
Benin,BEN,2015,60.608,2055,10576000,Africa
Bolivia,BOL,2015,70.277,6200,10870000,South America
Bosnia and Herzegovina,BIH,2015,76.865,9495,3429000,Europe
Botswana,BWA,2015,67.338,14805,2121000,Africa
Brazil,BRA,2015,74.994,15826,204472000,South America
Bulgaria,BGR,2015,74.584,16373,7200000,Europe
Burkina Faso,BFA,2015,59.919,1450,18111000,Africa
Burundi,BDI,2015,60.123,694,10160000,Africa
Cambodia,KHM,2015,68.637,3086,15521000,Asia
Cameroon,CMR,2015,57.583,2778,23298000,Africa
Canada,CAN,2015,82.026,43619,36027000,North America
Cape Verde,CPV,2015,72.117,6266,525000,Africa
Central African Republic,CAF,2015,50.881,576,4493000,Africa
Chad,TCD,2015,53.137,2384,14111000,Africa
Chile,CHL,2015,79.646,21589,17969000,South America
China,CHN,2015,75.928,12244,1406848000,Asia
Colombia,COL,2015,76.531,13218,47521000,South America
Comoros,COM,2015,63.471,1696,777000,Africa
Congo,COG,2015,63.097,6272,4856000,Africa
Costa Rica,CRI,2015,79.565,13677,4848000,North America
Cote d'Ivoire,CIV,2015,56.065,3218,23226000,Africa
Croatia,HRV,2015,77.892,19698,4233000,Europe
Cuba,CUB,2015,78.561,7889,11325000,North America
Cyprus,CYP,2015,80.35,24963,1161000,Europe
Czechia,CZE,2015,78.692,28194,10601000,Europe
Democratic Republic of Congo,COD,2015,59.254,836,76245000,Africa
Denmark,DNK,2015,80.475,44635,5689000,Europe
Djibouti,DJI,2015,64.136,2941,914000,Africa
Dominica,DMA,2015,74.194,9319,71000,North America
Dominican Republic,DOM,2015,73.241,13762,10282000,North America
Ecuador,ECU,2015,76.143,10905,16212000,South America
Egypt,EGY,2015,71.302,11159,92443000,Africa
El Salvador,SLV,2015,72.412,8109,6325000,North America
Equatorial Guinea,GNQ,2015,57.359,37822,1169000,Africa
Estonia,EST,2015,77.783,24493,1315000,Europe
Eswatini,SWZ,2015,55.359,7969,1104000,Africa
Ethiopia,ETH,2015,65.048,1553,100835000,Africa
Finland,FIN,2015,81.196,36836,5481000,Europe
France,FRA,2015,82.224,36827,64453000,Europe
