LGA code,Local Government Area,2018,2019,State,Change,Change %,Rank
11450,Camden,94029,101437,NSW,7408,7.9,1
17100,Strathfield,45110,46926,NSW,1816,4,2
17420,The Hills Shire,172339,177969,NSW,5630,3.3,3
16700,Ryde,127340,131271,NSW,3931,3.1,4
17200,Sydney,240102,246343,NSW,6241,2.6,5
33960,Ipswich,213568,222307,QLD,8739,4.1,1
33830,Hope Vale,1081,1117,QLD,36,3.3,2
35780,Northern Penn,3068,3163,QLD,95,3.1,3
35670,Napranum,1047,1077,QLD,30,2.9,4
30250,Aurukun,1381,1418,QLD,37,2.7,5
27260,Wyndham,255367,270487,VIC,15120,5.9,1
24650,Melton,156718,164895,VIC,8177,5.2,2
24600,Melbourne,170317,178955,VIC,8638,5.1,3
21450,Cardinia,107117,112159,VIC,5042,4.7,4
23270,Hume,224423,233471,VIC,9048,4,5
